Tulajdonosa -> Márka -> Model
Miksa ?rmin -> Opel -> Vectra
Lakatos Kevin -> Opel -> Vectra
Tam?s Vilmos -> Opel -> Vectra
Egyed ?rmin -> Opel -> Vectra
So?s Antal -> Opel -> Vectra
Kozma Imre -> Opel -> Astra
Ol?h Adri -> Opel -> Astra
Borb?ly Valentin -> Opel -> Astra
B?cs Zsombor -> Opel -> Astra
Szil?gyi Bertalan -> Opel -> Astra
V?radi Jakab -> Opel -> Astra
Kerekes L?szl? -> Opel -> Astra
Kende ?ron -> Opel -> Astra
Tam?s Vilmos -> Opel -> Astra
Budai Jakab -> Opel -> Astra
Miksa ?rmin -> Fiat -> 126
Varga Bendeg?z -> Fiat -> 126
Bal?zs Szilveszter -> Fiat -> 126
P?ter Don -> Fiat -> 126
Barta Noel -> Fiat -> 126
Nov?k Benedek -> Fiat -> 126
Bakos Barnab -> Fiat -> 126
Kozma Imre -> Fiat -> Seicento
Farag? Gergo -> Fiat -> Seicento
Moln?r Alexander -> Fiat -> Seicento
Hajd? Benj?min -> Fiat -> Seicento
Balogh K?lm -> Fiat -> Seicento
F?l?p Kriszti -> Fiat -> Seicento
M?t? Benjamin -> Suzuki -> Swift
Lakatos Kevin -> Suzuki -> Swift
Dud?s Ferenc -> Suzuki -> Swift
Bal?zs Norbert -> Suzuki -> Swift
Tam?s Csan -> Suzuki -> Swift
Kozma Imre -> Ford -> Focus
So?s Gyula -> Ford -> Focus
Lakatos Mikl?s -> Ford -> Focus
Kov?cs Erik -> Ford -> Mondeo
Orosz R?bert -> Ford -> Mondeo
Simon Andr -> Ford -> Mondeo
